Salsola kali,ol,Openland
Lemna-type,ol,Openland
Hypoxis hirsuta,ol,Openland
Lysimachia ciliata-type,ol,Openland
Astragalus-type,ol,Openland
Maclura-type,sg,Summergreen
Ambrosia/Iva,ol,Openland
Abies undiff.,uk,Unknown
Asteraceae (lophate),ol,Openland
Menyanthes,ol,Openland
Ranunculaceae (tricolpate),ol,Openland
Allium-type,ol,Openland
Prosopis cf. P. pubescens,sg,Summergreen
Valeriana edulis,ol,Openland
Thuja,eg,Evergreen
Eriophorum,ol,Openland
"Asteraceae (lophate, echinate)",ol,Openland
Hippuris,ol,Openland
Elodea,ol,Openland
Other plants,uk,Unknown
Pinus/Picea,eg,Evergreen
Syringa vulgaris,sg,Summergreen
Rhus glabra-type,sg,Summergreen
Penthorum sedoides,ol,Openland
Sagina,ol,Openland
Sium-type,ol,Openland
Fabaceae cf. Oxytropis,ol,Openland
Mitella-type,ol,Openland
Chenopodiaceae sensu stricto,ol,Openland
Cupressaceae/Taxaceae undiff.,uk,Unknown
Abies lasiocarpa,eg,Evergreen
Berberis,sg,Summergreen
Agoseris glauca-type,ol,Openland
Anthemis,ol,Openland
Solidago canadensis,ol,Openland
Myriophyllum sibiricum,ol,Openland
Picea/Pinus undiff.,uk,Unknown
Polygonum aviculare,ol,Openland
Caprifoliaceae,sg,Summergreen
Betula (small),sg,Summergreen
Cannabaceae,ol,Openland
Valerianoideae,ol,Openland
Aquilegia,ol,Openland
Hippocastanoideae,sg,Summergreen
Fraxinus-type,sg,Summergreen
Plantago cf. P. major,ol,Openland
Populus-type,sg,Summergreen
Unknown,uk,Unknown
cf. Urtica,ol,Openland
cf. Iva annua,ol,Openland
cf. Prunus serotina,sg,Summergreen
cf. Plantago,ol,Openland
cf. Polygonum,ol,Openland
Acer cf. A. negundo,sg,Summergreen
Betula/Ostrya,sg,Summergreen
cf. Castanea,sg,Summergreen
Acer (reticulate),sg,Summergreen
Acer (rugulate),sg,Summergreen
Acer (striate),sg,Summergreen
cf. Impatiens,ol,Openland
Acer cf. A. spicatum,sg,Summergreen
Utricularia vulgaris,ol,Openland
Nyctaginaceae,uk,Unknown
Cercis,sg,Summergreen
Alternanthera,ol,Openland
Amorpha cf. A. canescens,sg,Summergreen
Arabis,ol,Openland
Celastrus scandens,sg,Summergreen
Filipendula rubra,ol,Openland
Lilium philadelphicum,ol,Openland
Lonicera hirsuta,sg,Summergreen
Lotus,ol,Openland
Melilotus,ol,Openland
Nymphoides-type,ol,Openland
Phlox pilosa,ol,Openland
Potamogeton pectinatus-type,ol,Openland
